model,scheme,fold,metric,value
global_mean,random,0,rmse_log,0.5985054190349224
global_mean,random,0,mae_log,0.44294971770560293
global_mean,random,0,r2,-1.9937802229197388e-06
global_mean,random,0,medape_pct,33.974870196774646
global_mean,random,0,mae_price_gbp,376280.92238563567
global_mean,random,0,duan_smearing,1.265030771817207
global_median,random,0,rmse_log,0.6021277960612712
global_median,random,0,mae_log,0.4385397273121924
global_median,random,0,r2,-0.01214339180358226
global_median,random,0,medape_pct,32.264516129032245
global_median,random,0,mae_price_gbp,376280.9223856357
global_median,random,0,duan_smearing,1.3524192356826292
spatial_knn,random,0,rmse_log,0.3709605212243778
spatial_knn,random,0,mae_log,0.2515337188368485
spatial_knn,random,0,r2,0.615832980581966
spatial_knn,random,0,medape_pct,16.216216216216218
spatial_knn,random,0,mae_price_gbp,209459.02958470554
spatial_knn,random,0,duan_smearing,1.0376739343734376
ridge_no_spatial,random,0,rmse_log,0.4162928734990722
ridge_no_spatial,random,0,mae_log,0.3046553752854709
ridge_no_spatial,random,0,r2,0.516203586529477
ridge_no_spatial,random,0,medape_pct,23.18259229355934
ridge_no_spatial,random,0,mae_price_gbp,258196.08125153443
ridge_no_spatial,random,0,duan_smearing,1.106013816330739
ridge_spatial,random,0,rmse_log,0.36851479138296817
ridge_spatial,random,0,mae_log,0.2661334044345242
ridge_spatial,random,0,r2,0.6208818815719003
ridge_spatial,random,0,medape_pct,19.74689127420654
ridge_spatial,random,0,mae_price_gbp,223914.77802148406
ridge_spatial,random,0,duan_smearing,1.0764187382362196
lasso_spatial,random,0,rmse_log,0.36873821802960083
lasso_spatial,random,0,mae_log,0.2660824294603475
lasso_spatial,random,0,r2,0.6204220315481703
lasso_spatial,random,0,medape_pct,19.736149588937028
lasso_spatial,random,0,mae_price_gbp,223919.54163841062
lasso_spatial,random,0,duan_smearing,1.0766475327961516
lightgbm,random,0,rmse_log,0.3269987515412163
lightgbm,random,0,mae_log,0.23525318714080248
lightgbm,random,0,r2,0.7014913770347655
lightgbm,random,0,medape_pct,17.172720975956707
lightgbm,random,0,mae_price_gbp,193463.462581316
lightgbm,random,0,duan_smearing,1.0546536415529164
global_mean,random,1,rmse_log,0.6000301827955642
global_mean,random,1,mae_log,0.4426041546913291
global_mean,random,1,r2,-1.7913133441016527e-06
global_mean,random,1,medape_pct,33.60607839341718
global_mean,random,1,mae_price_gbp,379340.5220354652
global_mean,random,1,duan_smearing,1.2633463896167343
global_median,random,1,rmse_log,0.6042149136481303
global_median,random,1,mae_log,0.43841749988719675
global_median,random,1,r2,-0.013998857032564205
global_median,random,1,medape_pct,32.07792207792213
global_median,random,1,mae_price_gbp,379340.5220354652
global_median,random,1,duan_smearing,1.3552074641544196
spatial_knn,random,1,rmse_log,0.37059072053747816
spatial_knn,random,1,mae_log,0.25224860297901075
spatial_knn,random,1,r2,0.6185446895826001
spatial_knn,random,1,medape_pct,16.39789476334949
spatial_knn,random,1,mae_price_gbp,210216.25909382192
spatial_knn,random,1,duan_smearing,1.0369704470060719
ridge_no_spatial,random,1,rmse_log,0.4184548080292596
ridge_no_spatial,random,1,mae_log,0.3051883842853744
ridge_no_spatial,random,1,r2,0.5136468772489429
ridge_no_spatial,random,1,medape_pct,23.198458497070174
ridge_no_spatial,random,1,mae_price_gbp,262451.34040353826
ridge_no_spatial,random,1,duan_smearing,1.1052090842678801
ridge_spatial,random,1,rmse_log,0.37169578132702885
ridge_spatial,random,1,mae_log,0.2675668973755874
ridge_spatial,random,1,r2,0.6162663822040214
ridge_spatial,random,1,medape_pct,19.72577436314716
ridge_spatial,random,1,mae_price_gbp,228826.4855140976
ridge_spatial,random,1,duan_smearing,1.0758570122829323
lasso_spatial,random,1,rmse_log,0.372065477112065
lasso_spatial,random,1,mae_log,0.26767241904791816
lasso_spatial,random,1,r2,0.6155026648906233
lasso_spatial,random,1,medape_pct,19.723221452019757
lasso_spatial,random,1,mae_price_gbp,228956.6005214153
lasso_spatial,random,1,duan_smearing,1.0760847807081146
lightgbm,random,1,rmse_log,0.33010703620806403
lightgbm,random,1,mae_log,0.236771452929817
lightgbm,random,1,r2,0.6973336447253855
lightgbm,random,1,medape_pct,17.18990802028113
lightgbm,random,1,mae_price_gbp,197896.60252707472
lightgbm,random,1,duan_smearing,1.0546029002158235
global_mean,random,2,rmse_log,0.5985727419211762
global_mean,random,2,mae_log,0.4421329881960838
global_mean,random,2,r2,-4.1834514137306655e-06
global_mean,random,2,medape_pct,33.807507081190465
global_mean,random,2,mae_price_gbp,377239.0282302617
global_mean,random,2,duan_smearing,1.2644619219599618
global_median,random,2,rmse_log,0.602852042441296
global_median,random,2,mae_log,0.4380623790631229
global_median,random,2,r2,-0.014353701620245074
global_median,random,2,medape_pct,32.103896103896076
global_median,random,2,mae_price_gbp,377239.02823026164
global_median,random,2,duan_smearing,1.3568087045922832
spatial_knn,random,2,rmse_log,0.369379196699848
spatial_knn,random,2,mae_log,0.25036471509311176
spatial_knn,random,2,r2,0.6191860841905954
spatial_knn,random,2,medape_pct,16.13096965573965
spatial_knn,random,2,mae_price_gbp,209786.83244782127
spatial_knn,random,2,duan_smearing,1.0376761473572365
ridge_no_spatial,random,2,rmse_log,0.4167636138130094
ridge_no_spatial,random,2,mae_log,0.3048248495345367
ridge_no_spatial,random,2,r2,0.515216828520618
ridge_no_spatial,random,2,medape_pct,23.234528017088515
ridge_no_spatial,random,2,mae_price_gbp,259728.75523135593
